date,open,high,low,close,volume
12/30/2019,1874,1884,1840.619995,1846.890015,3674700
12/31/2019,1842,1853.26001,1832.22998,1847.839966,2506500
1/2/2020,1875,1898.01001,1864.150024,1898.01001,4029000
1/3/2020,1864.5,1886.199951,1864.5,1874.969971,3764400
1/6/2020,1860,1903.689941,1860,1902.880005,4061800
1/7/2020,1904.5,1913.890015,1892.040039,1906.859985,4044900
1/8/2020,1898.040039,1911,1886.439941,1891.969971,3508000
1/9/2020,1909.890015,1917.819946,1895.800049,1901.050049,3167300
1/10/2020,1905.369995,1906.939941,1880,1883.160034,2853700
1/13/2020,1891.310059,1898,1880.800049,1891.300049,2780800
1/14/2020,1885.880005,1887.109985,1858.550049,1869.439941,3440900
1/15/2020,1872.25,1878.859985,1855.089966,1862.02002,2896600
1/16/2020,1882.98999,1885.589966,1866.02002,1877.939941,2659500
1/17/2020,1885.890015,1886.640015,1857.25,1864.719971,3997300
1/21/2020,1865,1894.27002,1860,1892,3707800
1/22/2020,1896.089966,1902.5,1883.339966,1887.459961,3216300
1/23/2020,1885.109985,1889.97998,1872.76001,1884.579956,2484600
1/24/2020,1891.369995,1894.98999,1847.439941,1861.640015,3766200
1/27/2020,1820,1841,1815.339966,1828.339966,3528500
1/28/2020,1840.5,1858.109985,1830.02002,1853.25,2808000
1/29/2020,1864,1874.75,1855.02002,1858,2088000
1/30/2020,1858,1872.869995,1850.609985,1870.680054,6327400
1/31/2020,2051.469971,2055.719971,2002.27002,2008.719971,15567300
2/3/2020,2010.599976,2048.5,2000.25,2004.199951,5899100
2/4/2020,2029.880005,2059.800049,2015.369995,2049.669922,5289300
2/5/2020,2071.02002,2071.02002,2032,2039.869995,4376200
2/6/2020,2041.02002,2056.300049,2024.800049,2050.22998,3183000
2/7/2020,2041.98999,2098.530029,2038.099976,2079.280029,5095300
2/10/2020,2085.01001,2135.600098,2084.959961,2133.909912,5056200
2/11/2020,2150.899902,2185.949951,2136,2150.800049,5746000
2/12/2020,2163.199951,2180.25,2155.290039,2160,3334300
2/13/2020,2144.98999,2170.280029,2142,2149.870117,3031800
2/14/2020,2155.679932,2159.040039,2125.889893,2134.870117,2606200
2/18/2020,2125.02002,2166.070068,2124.110107,2155.669922,2945600
2/19/2020,2167.800049,2185.100098,2161.120117,2170.219971,2561200
2/20/2020,2173.070068,2176.790039,2127.449951,2153.100098,3131300
2/21/2020,2142.149902,2144.550049,2088,2095.969971,4646300
2/24/2020,2003.180054,2039.300049,1987.969971,2009.290039,6547000
2/25/2020,2026.420044,2034.599976,1958.420044,1972.73999,6219100
2/26/2020,1970.280029,2014.670044,1960.449951,1979.589966,5224600
2/27/2020,1934.380005,1975,1882.76001,1884.300049,8144000
2/28/2020,1814.630005,1889.76001,1811.130005,1883.75,9493800
3/2/2020,1906.48999,1954.51001,1870,1953.949951,6761700
3/3/2020,1975.369995,1996.329956,1888.089966,1908.98999,7534500
3/4/2020,1946.569946,1978,1922,1975.829956,4772900
3/5/2020,1933,1960.719971,1910,1924.030029,4748200
3/6/2020,1875,1910.869995,1869.5,1901.089966,5273600
3/9/2020,1773.859985,1862.77002,1761.290039,1800.609985,7813200
3/10/2020,1870.880005,1894.27002,1818.170044,1891.819946,7133300
3/11/2020,1857.849976,1871.319946,1801.5,1820.859985,5624800
3/12/2020,1721.97998,1765,1675,1676.609985,11346200
3/13/2020,1755,1786.310059,1680.619995,1785,8809700
3/16/2020,1641.51001,1759.449951,1626.030029,1689.150024,8917300
3/17/2020,1775.469971,1857.780029,1689.23999,1807.839966,10917100
3/18/2020,1750,1841.660034,1745,1830,9645200
3/19/2020,1860,1945,1832.650024,1880.930054,10399900
3/20/2020,1926.310059,1957,1820.72998,1846.089966,9817900
3/23/2020,1827.75,1919.400024,1812,1902.829956,7808500
3/24/2020,1951.5,1955,1900.339966,1940.099976,7147100
3/25/2020,1920.689941,1950.26001,1885.780029,1885.839966,6479100
3/26/2020,1902,1956.48999,1889.290039,1955.48999,6221300
3/27/2020,1930.859985,1939.790039,1899.920044,1900.099976,5387900
3/30/2020,1922.829956,1973.630005,1912.339966,1963.949951,6126100
3/31/2020,1964.349976,1993.02002,1944.01001,1949.719971,5123600
4/1/2020,1932.969971,1944.959961,1893,1907.699951,4121900
4/2/2020,1901.640015,1927.530029,1890,1918.829956,4336000
4/3/2020,1911.150024,1926.329956,1889.150024,1906.589966,3609900
4/6/2020,1936,1998.52002,1930.02002,1997.589966,5773200
4/7/2020,2017.109985,2035.719971,1997.619995,2011.599976,5114000
4/8/2020,2021,2044,2011.150024,2043,3977300
4/9/2020,2044.300049,2053,2017.660034,2042.76001,4655600
4/13/2020,2040,2180,2038,2168.870117,6716700
4/14/2020,2200.469971,2292,2186.209961,2283.320068,8087200
4/15/2020,2257.679932,2333.370117,2245,2307.679932,6866600
4/16/2020,2346,2461,2335,2408.189941,12038200
4/17/2020,2372.330078,2400,2316.02002,2375,7930000
4/20/2020,2389.949951,2444.97998,2386.050049,2393.610107,5770700
4/21/2020,2416.610107,2428.310059,2279.659912,2328.120117,7476700
4/22/2020,2369,2394,2351,2363.48999,4218300
4/23/2020,2399.97998,2424.219971,2382.080078,2399.449951,5066600
4/24/2020,2417,2420.429932,2382,2410.219971,3831800
