date,open,high,low,close,volume
12/30/2019,142.559998,142.800003,142.460007,142.630005,4810600
12/31/2019,143.309998,143.600006,142.800003,142.899994,5313500
1/2/2020,143.860001,144.210007,143.399994,143.949997,7733800
1/3/2020,145.75,146.320007,145.399994,145.860001,12272800
1/6/2020,148.440002,148.479996,146.949997,147.389999,14403300
1/7/2020,147.570007,148.139999,147.429993,147.970001,7978500
1/8/2020,148.490005,148.610001,146.139999,146.860001,22248500
1/9/2020,146.070007,146.410004,145.440002,146.029999,10292300
1/10/2020,146.220001,146.990005,146.169998,146.910004,6183300
1/13/2020,146.350006,146.380005,145.779999,145.820007,7593800
1/14/2020,145.419998,145.809998,145.080002,145.690002,6589700
1/15/2020,146.210007,146.729996,145.820007,146.539993,6510000
1/16/2020,146.270004,146.470001,145.759995,146.309998,6069100
1/17/2020,146.509995,146.990005,146.309998,146.580002,11121100
1/21/2020,145.770004,146.860001,145.550003,146.740005,6086100
1/22/2020,146.679993,146.809998,146.380005,146.789993,4778200
1/23/2020,147,147.619995,146.619995,147.119995,8419800
1/24/2020,146.899994,148.380005,146.889999,147.979996,9919900
1/27/2020,149.240005,149.320007,148.460007,148.990005,9988100
1/28/2020,148.360001,148.559998,147.529999,147.660004,7543100
1/29/2020,147.699997,148.559998,147.610001,148.460007,5013100
1/30/2020,148.690002,149.309998,148.009995,148.470001,9119500
1/31/2020,148.880005,149.679993,148.809998,149.330002,14788300
2/3/2020,148.660004,148.779999,147.679993,148.360001,9115100
2/4/2020,146.970001,147.029999,145.800003,146.429993,10525600
2/5/2020,146.380005,146.809998,146.160004,146.610001,6160700
2/6/2020,147.279999,147.630005,147,147.399994,4819800
2/7/2020,147.830002,148.179993,147.339996,147.789993,6379300
2/10/2020,148.210007,148.449997,147.910004,148.169998,5793600
2/11/2020,148.029999,148.160004,147.009995,147.660004,5179400
2/12/2020,147.419998,147.809998,147.160004,147.539993,5040600
2/13/2020,148.240005,148.580002,147.949997,148.380005,7082100
2/14/2020,148.740005,149.130005,148.630005,149,5345400
2/18/2020,149.880005,151.089996,149.470001,150.910004,11524900
2/19/2020,151,151.820007,150.820007,151.789993,9269800
2/20/2020,152,152.830002,151.949997,152.410004,8457300
2/21/2020,154.429993,155.220001,154.179993,154.699997,16344500
2/24/2020,158.5,158.529999,155.360001,156.089996,27171000
2/25/2020,155.119995,156.080002,152.910004,153.300003,28091500
2/26/2020,153.820007,155.279999,152.899994,153.970001,17912500
2/27/2020,155.580002,156.270004,153.899994,154,27878500
2/28/2020,152.710007,152.770004,147.050003,148.380005,42707100
3/2/2020,150,150.729996,149.039993,149.199997,16295400
3/3/2020,150.839996,155.240005,150.740005,153.889999,28687700
3/4/2020,154.399994,154.960007,153.699997,154.160004,12315500
3/5/2020,156.059998,157.619995,155.720001,157.490005,17973500
3/6/2020,158.330002,159.25,154.539993,157.550003,26973400
3/9/2020,158.600006,159.369995,156.330002,157.809998,24868700
3/10/2020,156.179993,156.410004,154.389999,154.479996,18811500
3/11/2020,156.25,156.5,153.610001,153.929993,18159900
3/12/2020,151.529999,151.550003,146.850006,147.789993,32893400
3/13/2020,149.419998,149.600006,141.580002,143.279999,35177200
3/16/2020,137.559998,142.960007,136.119995,141.639999,24496000
3/17/2020,140.179993,146.199997,139.929993,143.559998,24490300
3/18/2020,141.75,142.880005,138.5,140.699997,21953400
3/19/2020,139.080002,140.5,137.850006,138.039993,20828900
3/20/2020,140.710007,141.169998,139.139999,140.110001,20056000
3/23/2020,142.679993,146.929993,142.279999,146.300003,28275200
3/24/2020,153.5,155.660004,152.050003,153.399994,20743500
3/25/2020,152.580002,152.880005,151.009995,151.300003,16457200
3/26/2020,153.309998,154.809998,152.080002,153.240005,12778200
3/27/2020,153,153.550003,152,152.25,9824600
3/30/2020,152.410004,153.080002,151.570007,152.919998,12080900
3/31/2020,151.360001,151.800003,147.970001,148.050003,13319500
4/1/2020,148.199997,150.080002,147.850006,149.449997,11827400
4/2/2020,151.199997,152.5,150.699997,151.899994,9188300
4/3/2020,152.229996,153.089996,151.660004,152.649994,8469100
4/6/2020,154.160004,157.220001,153.960007,156.880005,14739300
4/7/2020,155.330002,156.139999,154.380005,156.039993,9195400
4/8/2020,155.910004,155.940002,154.589996,154.649994,7600800
4/9/2020,158.080002,159.080002,157.210007,158.690002,18123000
4/13/2020,159.169998,162.380005,158.630005,161.410004,20549200
4/14/2020,162.729996,164.419998,161.779999,162.679993,17095100
4/15/2020,161.800003,162.539993,160.809998,161.850006,12141900
4/16/2020,161.880005,163.149994,160.649994,161.710007,9233200
4/17/2020,159.720001,160.070007,158.119995,158.570007,14652700
4/20/2020,158.619995,160.220001,158.460007,159.699997,10688700
4/21/2020,157.600006,159.210007,157.039993,158.610001,12478100
4/22/2020,160.5,161.740005,160.419998,161.729996,12937100
4/23/2020,162.389999,163.600006,161.839996,163.339996,14928500
4/24/2020,163.130005,163.309998,160.889999,162.639999,11203600
