date,open,high,low,close,volume
12/30/2019,329.079987,329.190002,322.859985,323.309998,4311500
12/31/2019,322,324.920013,321.089996,323.570007,3713300
1/2/2020,326.100006,329.980011,324.779999,329.809998,4485800
1/3/2020,326.779999,329.859985,325.529999,325.899994,3806900
1/6/2020,323.119995,336.359985,321.200012,335.829987,5663100
1/7/2020,336.470001,336.700012,330.299988,330.75,4703200
1/8/2020,331.48999,342.700012,331.049988,339.26001,7104500
1/9/2020,342,343.420013,334.609985,335.660004,4709300
1/10/2020,337.130005,338.5,327.269989,329.049988,4718300
1/13/2020,331.799988,340.850006,331.51001,338.920013,6290000
1/14/2020,344.399994,345.380005,335.519989,338.690002,7199400
1/15/2020,338.679993,343.170013,336.600006,339.070007,5158000
1/16/2020,343.5,343.559998,335.850006,338.619995,5016000
1/17/2020,341,341.570007,337.380005,339.670013,6066500
1/21/2020,340,341,332.589996,338.109985,14350300
1/22/2020,332.549988,336.299988,323.600006,326,21730000
1/23/2020,326.040009,349.880005,325.01001,349.600006,18200300
1/24/2020,348.459991,359.850006,345.880005,353.160004,17939700
1/27/2020,345.950012,351.899994,341.019989,342.880005,7709500
1/28/2020,345.880005,352.399994,342.779999,348.519989,6821600
1/29/2020,349,349.399994,338.549988,343.160004,7643500
1/30/2020,341.100006,348.200012,339.25,347.73999,5328100
1/31/2020,347.390015,347.390015,340.980011,345.089996,5230000
2/3/2020,347.23999,359.630005,346.279999,358,6674900
2/4/2020,361,369.570007,356.100006,369.01001,7161500
2/5/2020,375.130005,375.25,362.299988,369.670013,6437000
2/6/2020,369.600006,371.549988,362.51001,366.950012,3920400
2/7/2020,365.040009,371.799988,363.570007,366.769989,4385200
2/10/2020,365,374.799988,362.519989,371.070007,5294100
2/11/2020,373.75,378.109985,369.720001,373.690002,4772900
2/12/2020,377.179993,380.619995,375.880005,380.01001,4624800
2/13/2020,376.959991,385.369995,376.51001,381.399994,4485400
2/14/2020,381.470001,385.149994,379.429993,380.399994,3736300
2/18/2020,379.299988,389.540009,379.190002,387.779999,5173900
2/19/2020,388.119995,392.950012,384.899994,386.190002,4896400
2/20/2020,386.559998,389.700012,376.679993,386,4079400
2/21/2020,385.329987,387.320007,377.899994,380.070007,3930100
2/24/2020,364.76001,372.820007,361,368.700012,6936400
2/25/2020,372,375.649994,357.720001,360.089996,6481200
2/26/2020,366.309998,382,365,379.23999,8934100
2/27/2020,371.459991,391.559998,370.600006,371.709991,10967700
2/28/2020,364.209991,376.769989,356.799988,369.029999,11178600
3/2/2020,373.109985,381.359985,364.5,381.049988,6997900
3/3/2020,381.029999,393.519989,367.399994,368.769989,8364600
3/4/2020,377.769989,384.01001,370.51001,383.790009,5487300
3/5/2020,381,391.399994,368.640015,372.779999,8747000
3/6/2020,367.700012,371.309998,356.850006,368.970001,8147200
3/9/2020,343.859985,357.470001,341.720001,346.48999,7405500
3/10/2020,356.429993,364.540009,347.850006,364.130005,7604400
3/11/2020,358.920013,362.980011,344.790009,349.920013,6036000
3/12/2020,326.5,335.720001,307.320007,315.25,12071600
3/13/2020,330.51001,336.420013,307.390015,336.299988,9458200
3/16/2020,306.630005,334.350006,294.75,298.839996,10559900
3/17/2020,306.190002,322.899994,290.25,319.75,10013900
3/18/2020,302.399994,331.579987,300,315.470001,12593600
3/19/2020,324.329987,348.51001,316.820007,332.029999,10616000
3/20/2020,342.309998,350.48999,332,332.829987,10853800
3/23/2020,347.890015,366.109985,340.880005,360.269989,13449400
3/24/2020,369.98999,372.929993,353.029999,357.320007,11638700
3/25/2020,361.019989,362,339.170013,342.390015,8767200
3/26/2020,344,363.839996,341.730011,362.98999,7229600
3/27/2020,359.089996,368.559998,353,357.119995,7948800
3/30/2020,363,377.799988,361.170013,370.959991,8622000
3/31/2020,367.929993,383.01001,366.440002,375.5,9366500
4/1/2020,376.049988,380.230011,361.019989,364.079987,6672500
4/2/2020,364.079987,370.98999,360.059998,370.079987,4592500
4/3/2020,367.470001,370.899994,357.51001,361.76001,4860800
4/6/2020,365.220001,380.290009,361.709991,379.959991,8183900
4/7/2020,380,381.329987,369.339996,372.279999,7046400
4/8/2020,374.01001,378.390015,368.309998,371.119995,6908900
4/9/2020,371.059998,372.100006,363.029999,370.720001,7711300
4/13/2020,371.309998,400.51001,367.700012,396.720001,11692900
4/14/2020,397.5,417.820007,394.850006,413.549988,11581000
4/15/2020,413,434.980011,412.25,426.75,13561200
4/16/2020,437,449.519989,431.609985,439.170013,16128700
4/17/2020,431,432,414.700012,422.959991,12616300
4/20/2020,435.170013,444.48999,430.559998,437.48999,12655800
4/21/2020,444.769989,447,425.600006,433.829987,23177600
4/22/2020,429.730011,433,413,421.420013,21123800
4/23/2020,419.26001,438.410004,419.26001,426.700012,13952300
4/24/2020,425,427.170013,415.880005,424.98999,8670400
