date,open,high,low,close,volume
12/30/2019,84.599998,84.660004,84.599998,84.639999,1630700
12/31/2019,84.639999,84.669998,84.610001,84.629997,3025600
1/2/2020,84.669998,84.709999,84.639999,84.669998,2665200
1/3/2020,84.720001,84.760002,84.690002,84.739998,2039900
1/6/2020,84.730003,84.739998,84.68,84.709999,1132100
1/7/2020,84.720001,84.730003,84.699997,84.709999,1103400
1/8/2020,84.720001,84.739998,84.660004,84.669998,1864300
1/9/2020,84.650002,84.699997,84.639999,84.68,1424400
1/10/2020,84.690002,84.720001,84.690002,84.699997,1065900
1/13/2020,84.699997,84.699997,84.669998,84.690002,1275600
1/14/2020,84.690002,84.730003,84.690002,84.699997,2323400
1/15/2020,84.730003,84.739998,84.709999,84.739998,2467900
1/16/2020,84.730003,84.739998,84.709999,84.739998,1995100
1/17/2020,84.730003,84.769997,84.720001,84.769997,1592600
1/21/2020,84.779999,84.800003,84.779999,84.790001,2814600
1/22/2020,84.790001,84.82,84.790001,84.809998,1878400
1/23/2020,84.839996,84.879997,84.82,84.839996,6874100
1/24/2020,84.849998,84.900002,84.839996,84.870003,3717500
1/27/2020,84.970001,84.980003,84.940002,84.959999,1915500
1/28/2020,84.959999,84.970001,84.910004,84.919998,1233400
1/29/2020,84.949997,85,84.93,85,1269100
1/30/2020,85.029999,85.07,85,85.010002,1348300
1/31/2020,85.050003,85.139999,85.050003,85.120003,4298900
2/3/2020,84.959999,84.980003,84.910004,84.959999,4133700
2/4/2020,84.879997,84.889999,84.839996,84.870003,1575300
2/5/2020,84.82,84.839996,84.809998,84.809998,2229300
2/6/2020,84.809998,84.830002,84.800003,84.830002,1505800
2/7/2020,84.870003,84.900002,84.860001,84.879997,1408200
2/10/2020,84.93,84.949997,84.900002,84.919998,982700
2/11/2020,84.889999,84.900002,84.860001,84.879997,1911200
2/12/2020,84.849998,84.860001,84.839996,84.839996,1400400
2/13/2020,84.870003,84.889999,84.849998,84.860001,1700700
2/14/2020,84.900002,84.910004,84.889999,84.900002,1560000
2/18/2020,84.93,84.949997,84.910004,84.93,1669400
2/19/2020,84.910004,84.940002,84.889999,84.940002,1422800
2/20/2020,84.93,84.980003,84.93,84.959999,2051800
2/21/2020,85,85.080002,84.989998,85.029999,1798800
2/24/2020,85.169998,85.199997,85.160004,85.169998,2725200
2/25/2020,85.190002,85.300003,85.190002,85.260002,3027000
2/26/2020,85.239998,85.349998,85.220001,85.32,3688200
2/27/2020,85.440002,85.5,85.360001,85.419998,6008700
2/28/2020,85.650002,85.769997,85.620003,85.730003,9558300
3/2/2020,85.720001,85.800003,85.57,85.57,15009300
3/3/2020,85.629997,86.019997,85.610001,85.910004,7232300
3/4/2020,85.970001,86.050003,85.919998,85.919998,5711900
3/5/2020,86.110001,86.139999,86.07,86.099998,3797200
3/6/2020,86.309998,86.370003,86.169998,86.199997,4378300
3/9/2020,86.540001,86.669998,86.370003,86.669998,44359800
3/10/2020,86.300003,86.370003,86.150002,86.290001,11970200
3/11/2020,86.300003,86.32,86.18,86.190002,7873200
3/12/2020,86.300003,86.540001,86.169998,86.169998,12312300
3/13/2020,86.050003,86.32,85.949997,86.279999,9422400
3/16/2020,86.580002,86.730003,86.400002,86.419998,12123900
3/17/2020,86.489998,86.529999,86.129997,86.220001,10487800
3/18/2020,86.220001,86.779999,86.110001,86.110001,11907500
3/19/2020,86.220001,86.529999,86.220001,86.260002,12898400
3/20/2020,86.379997,86.629997,86.379997,86.489998,10683700
3/23/2020,86.709999,86.730003,86.559998,86.589996,9472000
3/24/2020,86.5,86.57,86.470001,86.470001,8366100
3/25/2020,86.489998,86.629997,86.489998,86.57,6098000
3/26/2020,86.589996,86.709999,86.580002,86.669998,8381000
3/27/2020,86.699997,86.699997,86.519997,86.650002,37087900
3/30/2020,86.730003,86.760002,86.660004,86.690002,5650800
3/31/2020,86.720001,86.779999,86.669998,86.669998,5677600
4/1/2020,86.620003,86.669998,86.580002,86.620003,6923900
4/2/2020,86.639999,86.669998,86.620003,86.639999,5879700
4/3/2020,86.610001,86.699997,86.580002,86.620003,5018100
4/6/2020,86.580002,86.610001,86.550003,86.559998,4869100
4/7/2020,86.510002,86.57,86.489998,86.540001,7881000
4/8/2020,86.540001,86.620003,86.540001,86.589996,4890600
4/9/2020,86.589996,86.650002,86.580002,86.620003,5401000
4/13/2020,86.629997,86.629997,86.589996,86.629997,3356200
4/14/2020,86.620003,86.650002,86.589996,86.629997,4712200
4/15/2020,86.68,86.699997,86.650002,86.660004,4270000
4/16/2020,86.68,86.699997,86.660004,86.68,2383600
4/17/2020,86.660004,86.690002,86.650002,86.650002,3282700
4/20/2020,86.669998,86.690002,86.650002,86.650002,5969400
4/21/2020,86.68,86.690002,86.650002,86.669998,3610300
4/22/2020,86.660004,86.660004,86.639999,86.639999,4836900
4/23/2020,86.639999,86.660004,86.620003,86.629997,3010000
4/24/2020,86.639999,86.660004,86.629997,86.629997,3117600
