date,open,high,low,close,volume
12/30/2019,3238.25,3244.25,3217.25,3223.5,984389
12/31/2019,3223.25,3236.25,3213,3231,1124598
1/2/2020,3237,3261.75,3234.25,3259,1157924
1/3/2020,3261,3263.5,3206.75,3235.5,1416241
1/6/2020,3220.25,3249.5,3208.75,3243.5,1755057
1/7/2020,3243.5,3254.5,3226,3235.25,1502748
1/8/2020,3231.75,3267.75,3181,3260.25,1293494
1/9/2020,3261.25,3276.75,3257.75,3276,2279138
1/10/2020,3275.5,3287,3260.75,3264.75,1297679
1/13/2020,3265.75,3291,3265.5,3289.75,1533121
1/14/2020,3289.25,3296.75,3275.25,3288,1008998
1/15/2020,3287.75,3299,3277.75,3293.75,1694799
1/16/2020,3294.25,3318,3294,3316.5,1468347
1/17/2020,3316.75,3330.25,3316,3325,1335246
1/21/2020,3325,3329.75,3307.25,3319.5,1312253
1/22/2020,3321.25,3337.5,3315.25,3319.75,1573187
1/23/2020,3317.25,3327,3301.25,3326,1505107
1/24/2020,3326.5,3337,3280.5,3293.5,1717046
1/27/2020,3269.75,3269.75,3233,3239.5,2515168
1/28/2020,3239.5,3285,3238.75,3278.25,2581636
1/29/2020,3281.75,3292.75,3265.25,3272.5,1910878
1/30/2020,3271.5,3295.25,3239.75,3289.75,1665382
1/31/2020,3292,3297.5,3212.75,3224,2421276
2/3/2020,3222.75,3267.25,3222,3245.5,3152069
2/4/2020,3244.25,3305.25,3236,3299.5,1919477
2/5/2020,3300.25,3338,3288.25,3335,1698403
2/6/2020,3337,3357.75,3332.5,3345.25,2046111
2/7/2020,3349,3350,3320.75,3325.5,1462323
2/10/2020,3322.25,3353.5,3303.5,3353,1698940
2/11/2020,3351,3374.5,3349.25,3357.5,1399815
2/12/2020,3360.5,3381.5,3355.5,3380.5,1486164
2/13/2020,3381.25,3384.75,3348.5,3377.5,1229231
2/14/2020,3379.5,3388.5,3365.25,3381,1772784
2/18/2020,3382.25,3392.5,3355.25,3369.25,1334897
2/19/2020,3372,3393.75,3370.75,3387.25,1735931
2/20/2020,3391.75,3397.5,3339.25,3369.25,1163426
2/21/2020,3367,3369.25,3328,3339.25,2073749
2/24/2020,3309,3312,3213.75,3226.25,2293728
2/25/2020,3223,3259.5,3117.25,3132.5,3636687
2/26/2020,3138,3182,3091,3110.25,4375530
2/27/2020,3100.25,3117,2952.25,3110.25,4572181
2/28/2020,2950,2994.25,2853.25,2956.899902,5450283
3/2/2020,2900,3093.25,2889.25,2951.100098,3515977
3/3/2020,3077,3137,2973,3065.100098,3617838
3/4/2020,2988.25,3129.5,2976.5,2997.100098,2456513
3/5/2020,3109.25,3113.75,2996.5,3114.699951,2649868
3/6/2020,3024.25,3037,2898,3015.5,2992638
3/9/2020,2916,2916,2715,2964.100098,2490454
3/10/2020,2733,2884.75,2695.25,2747.699951,3273594
3/11/2020,2859.5,2869.5,2702.75,2865.75,2824963
3/12/2020,2738,2774,2442.5,2740.300049,4207725
3/13/2020,2429.5,2707.75,2393.5,2468.899902,3244207
3/16/2020,2631.5,2652,2350,2683.899902,3415781
3/17/2020,2498,2554.5,2352,2406.25,1010824445
3/18/2020,2467.5,2486.25,2262,2485.5,3085714
3/19/2020,2402.5,2460,2275,2401.399902,3022652
3/20/2020,2351,2499,2280,2389,2885909
3/23/2020,2198.25,2384.75,2174.5,2257,1041579681
3/24/2020,2281.25,2470,2275.25,2432.75,810750788
3/25/2020,2406,2560.75,2386,2464.25,989839220
3/26/2020,2454.5,2629,2402.25,2618.25,774716710
3/27/2020,2577.5,2605,2505.25,2520,720188588
3/30/2020,2513.75,2624.5,2495,2615,657788053
3/31/2020,2616.5,2635.75,2536.5,2542,642108004
4/1/2020,2527.75,2528.5,2434.25,2469,682739382
4/2/2020,2482,2525,2425,2504.25,689702609
4/3/2020,2491.25,2529.25,2449,2480.25,541243883
4/6/2020,2566.5,2668.5,2562.75,2656.25,657082075
4/7/2020,2645.5,2750,2623.5,2644.5,2424771
4/8/2020,2645.75,2752.5,2627.25,2746.5,619957076
4/9/2020,2734,2809.5,2701,2787,795398153
4/13/2020,2739.75,2779.25,2711,2765.5,522771068
4/14/2020,2796,2846,2780.5,2835,556722900
4/15/2020,2827.25,2834.75,2750.5,2754.25,612139662
4/16/2020,2759.75,2885,2754.75,2863.25,608047493
4/17/2020,2875.75,2884,2821,2869,712059839
4/20/2020,2871.25,2874,2804.25,2814,544866141
4/21/2020,2789.5,2807.75,2717.25,2736.5,686661318
4/22/2020,2738.5,2808,2728.25,2775,487880596
4/23/2020,2776.5,2836.75,2764.25,2769.5,548460634
4/24/2020,2766,2835,2755.25,2828,422195436
